Job Title,Rating,Company Name,Location,Headquarters,Sector,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data
"Data Scientist, Applied Machine Learning - Bay Area",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",Biotech & Pharmaceuticals,79,131,105, CA,0,5,1,0,0,0,1,0,0
Principal Data Scientist,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",Information Technology,79,131,105, CA,0,38,1,1,1,1,1,0,1
Business Data Analyst,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",Manufacturing,79,131,105, IL,0,95,0,1,0,0,0,1,0
Purification Scientist,4.9,New England Biolabs,"Ipswich, MA","Ipswich, MA",Biotech & Pharmaceuticals,79,131,105, MA,1,46,0,0,0,0,0,0,0
Data Analyst,3.4,Allied Solutions,"Carmel, IN","Carmel, IN",Insurance,79,131,105, IN,1,19,1,1,0,0,0,1,0
"Data Engineer, Enterprise Analytics",3.1,Healthfirst,"New York, NY","New York, NY",Insurance,79,131,105, NY,1,27,1,1,0,0,0,0,1
Data Scientist,3.5,The Knot Worldwide,"Washington, DC","Chevy Chase, MD",Information Technology,79,131,105, DC,0,1,1,0,0,1,1,0,0
Data Scientist,2.9,IFG Companies,"New York, NY","Hartford, CT",Insurance,79,131,105, NY,0,35,1,0,0,0,0,0,0
Data Scientist 3 (718),3.3,Amyris,"Emeryville, CA","Emeryville, CA",Biotech & Pharmaceuticals,79,131,105, CA,1,17,1,0,0,0,1,0,0
"Real World Science, Data Scientist",4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",Biotech & Pharmaceuticals,79,131,105, MD,0,107,1,0,1,0,0,0,0
Data Scientist,3.6,Powertek,"Washington, DC","Rockville, MD",Information Technology,79,131,105, DC,0,19,0,0,0,0,0,0,0
Data Engineer,4.7,Object Partners,"Saint Louis, MO","Minneapolis, MN",Business Services,79,131,105, MO,0,24,0,0,1,1,1,0,1
Data Scientist - Image and Video Analytics,4.9,The Mom Project,"Longmont, CO","Chicago, IL",Business Services,79,131,105, CO,0,4,1,0,1,1,1,0,0
Data Scientist,4.3,Lightspeed Systems,"Austin, TX","Austin, TX",Information Technology,79,131,105, TX,1,21,1,0,0,1,1,0,0
"Data Science Manager, Payment Acceptance - USA",4.0,Stripe,"San Francisco, CA","San Francisco, CA",Information Technology,79,131,105, CA,1,10,1,0,0,0,0,0,0
Data Analyst,2.6,Comprehensive Healthcare,"Yakima, WA","Yakima, WA",Health Care,79,131,105, WA,1,49,0,0,0,0,0,0,0
Data Scientist / Applied Mathematician,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA","Santa Cruz, CA",Information Technology,79,131,105, CA,1,17,1,0,0,0,1,0,1
